feature,importance
mkt_drawdown_250,0.027460831095581856
faber_trend_200,0.003776681426182001
high_52w_gap,0.00160042757544591
mom_12_1,0.001389111677569388
vwap_gap_20,0.0012955613872869625
macd_hist,0.0009091547748736328
ma_gap_20,0.0008570080204018208
ret_60,0.0006571804278729573
rsi_14,0.0004964140048840567
ret_5,0.0003261384130586557
dividend_yield,0.00025146209990371354
volume_ratio,0.00013030634788617027
ret_20,-0.0001046613954950315
pbr,-0.00014537572612068525
rel_strength_20,-0.0006178817619515812
ma_gap_60,-0.00166466801819809
mkt_trend_200,-0.0018575197366245133
per,-0.002464332304489688
hl_range,-0.0038140614938855975
volatility_20,-0.006388331338969063
per_vs_3y,-0.009131693950763187
pbr_vs_3y,-0.011995141252462963
breadth_200,-0.012130136989682313
